Epoch,Accuracy,AVG_loss
1,45.17338995046001,1.3890992403030396
2,45.38570417551309,1.361143946647644
3,45.1450813871196,1.3663272857666016
4,45.25831564048124,1.3514807224273682
5,45.17338995046001,1.3520841598510742
6,45.30785562632696,1.3432531356811523
7,45.27246992215145,1.3616775274276733
8,45.30077848549186,1.3578245639801025
9,45.39985845718329,1.3423821926116943
10,45.25831564048124,1.361100196838379
11,45.081387119603676,1.365281105041504
12,45.24416135881104,1.3495386838912964
13,45.25123849964614,1.3513078689575195
14,45.095541401273884,1.3840712308883667
15,45.37154989384289,1.3644447326660156
16,45.15923566878981,1.36854088306427
17,45.35031847133758,1.3569896221160889
18,45.24416135881104,1.3594940900802612
19,44.961075725406936,1.3595603704452515
20,45.187544232130215,1.3496583700180054
21,45.33616418966737,1.3514903783798218
22,45.208775654635524,1.3555493354797363
23,45.24416135881104,1.3474513292312622
24,45.031847133757964,1.3779444694519043
25,45.19462137296532,1.3736698627471924
26,45.20169851380042,1.3563432693481445
27,45.123849964614294,1.3515888452529907
28,45.16631280962491,1.3732795715332031
29,45.22292993630573,1.350469946861267
30,45.046001415428165,1.3866820335388184
31,45.25123849964614,1.3427705764770508
32,45.095541401273884,1.3639410734176636
33,45.17338995046001,1.3542261123657227
34,45.1450813871196,1.3426152467727661
35,45.20169851380042,1.3452627658843994
36,45.18046709129512,1.370808482170105
37,45.26539278131635,1.3621150255203247
38,45.31493276716206,1.3450043201446533
39,45.10969568294409,1.3664815425872803
40,45.28662420382166,1.3482187986373901
41,45.21585279547063,1.3937429189682007
42,45.081387119603676,1.3719136714935303
43,44.946921443736734,1.3885284662246704
44,45.30785562632696,1.3596460819244385
45,45.024769992922856,1.3862334489822388
46,45.17338995046001,1.358188271522522
47,45.25831564048124,1.3600972890853882
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
